"dateRep","cases","deaths","countriesAndTerritories","popData2018"
"2020-04-05",35,1,"Afghanistan",37172386.0
"2020-04-04",0,0,"Afghanistan",37172386.0
"2020-04-03",43,0,"Afghanistan",37172386.0
"2020-04-02",26,0,"Afghanistan",37172386.0
"2020-04-01",25,0,"Afghanistan",37172386.0
"2020-03-31",27,0,"Afghanistan",37172386.0
"2020-03-30",8,1,"Afghanistan",37172386.0
"2020-03-29",15,1,"Afghanistan",37172386.0
"2020-03-28",16,1,"Afghanistan",37172386.0
"2020-03-27",0,0,"Afghanistan",37172386.0
"2020-03-26",33,0,"Afghanistan",37172386.0
"2020-03-25",2,0,"Afghanistan",37172386.0
"2020-03-24",6,1,"Afghanistan",37172386.0
"2020-03-23",10,0,"Afghanistan",37172386.0
"2020-03-22",0,0,"Afghanistan",37172386.0
"2020-03-21",2,0,"Afghanistan",37172386.0
"2020-03-20",0,0,"Afghanistan",37172386.0
"2020-03-19",0,0,"Afghanistan",37172386.0
"2020-03-18",1,0,"Afghanistan",37172386.0
"2020-03-17",5,0,"Afghanistan",37172386.0
"2020-03-16",6,0,"Afghanistan",37172386.0
"2020-03-15",3,0,"Afghanistan",37172386.0
"2020-03-11",3,0,"Afghanistan",37172386.0
"2020-03-08",3,0,"Afghanistan",37172386.0
"2020-03-02",0,0,"Afghanistan",37172386.0
"2020-03-01",0,0,"Afghanistan",37172386.0
"2020-02-29",0,0,"Afghanistan",37172386.0
"2020-02-28",0,0,"Afghanistan",37172386.0
"2020-02-27",0,0,"Afghanistan",37172386.0
"2020-02-26",0,0,"Afghanistan",37172386.0
"2020-02-25",1,0,"Afghanistan",37172386.0
"2020-02-24",0,0,"Afghanistan",37172386.0
"2020-02-23",0,0,"Afghanistan",37172386.0
"2020-02-22",0,0,"Afghanistan",37172386.0
"2020-02-21",0,0,"Afghanistan",37172386.0
"2020-02-20",0,0,"Afghanistan",37172386.0
"2020-02-19",0,0,"Afghanistan",37172386.0
"2020-02-18",0,0,"Afghanistan",37172386.0
"2020-02-17",0,0,"Afghanistan",37172386.0
"2020-02-16",0,0,"Afghanistan",37172386.0
"2020-02-15",0,0,"Afghanistan",37172386.0
"2020-02-14",0,0,"Afghanistan",37172386.0
"2020-02-13",0,0,"Afghanistan",37172386.0
"2020-02-12",0,0,"Afghanistan",37172386.0
"2020-02-11",0,0,"Afghanistan",37172386.0
"2020-02-10",0,0,"Afghanistan",37172386.0
"2020-02-09",0,0,"Afghanistan",37172386.0
"2020-02-08",0,0,"Afghanistan",37172386.0
"2020-02-07",0,0,"Afghanistan",37172386.0
"2020-02-06",0,0,"Afghanistan",37172386.0
"2020-02-05",0,0,"Afghanistan",37172386.0
"2020-02-04",0,0,"Afghanistan",37172386.0
"2020-02-03",0,0,"Afghanistan",37172386.0
"2020-02-02",0,0,"Afghanistan",37172386.0
"2020-02-01",0,0,"Afghanistan",37172386.0
"2020-01-31",0,0,"Afghanistan",37172386.0
"2020-01-30",0,0,"Afghanistan",37172386.0
"2020-01-29",0,0,"Afghanistan",37172386.0
"2020-01-28",0,0,"Afghanistan",37172386.0
"2020-01-27",0,0,"Afghanistan",37172386.0
"2020-01-26",0,0,"Afghanistan",37172386.0
"2020-01-25",0,0,"Afghanistan",37172386.0
"2020-01-24",0,0,"Afghanistan",37172386.0
"2020-01-23",0,0,"Afghanistan",37172386.0
"2020-01-22",0,0,"Afghanistan",37172386.0
"2020-01-21",0,0,"Afghanistan",37172386.0
"2020-01-20",0,0,"Afghanistan",37172386.0
