Unnamed: 0,Number of manually,Electronically submitted cases
Federal State,,
,reported cases,Number cases/100.000 pop.
Baden-Württemberg,"1,105",1.062 9.6
Bavaria,"1,067",965 7.4
Berlin,300,300 8.0
Brandenburg,94,65 2.6
Bremen,56,56 8.2
Hamburg,260,255 13.9
Hesse,342,241 3.9
Mecklenburg-Western Pomerania,51,36 2.2
Lower Saxony,391,272 3.4
North Rhine-Westphalia,"1,541","1,541 8.6"
Rhineland-Palatinate,325,325 8.0
Saarland,85,32 3.2
Saxony,140,103 2.5
Saxony-Anhalt,77,40 1.8
Schleswig-Holstein,123,104 3.6
Thuringia,55,36 1.7
Total,"6,012","5,433 6.5"
