Unnamed: 0;Unnamed: 1;Electronically submitted cases;Unnamed: 3
Federal State;;;Number of
;Number;Difference cases/100,000 pop,;
;;;deaths
Baden-Württemberg;1,609;+ 130 14.5;2
Bavaria;1,243;+ 134 9.5;4
Berlin;391;+ 46 10.4;0
Brandenburg;92;+ 19 3.7;0
Bremen;69;+ 12 10.1;0
Hamburg;358;+ 48 19.4;0
Hesse;432;+ 59 6.9;0
Mecklenburg-Western Pomerania;56;+ 11 3.5;0
Lower Saxony;478;+ 153 6.0;0
North Rhine-Westphalia;2,372;+ 267 13.2;6
Rhineland-Palatinate;474;+ 32 11.6;0
Saarland;88;+ 13 8.9;0
Saxony;198;+ 16 4.9;0
Saxony-Anhalt;105;+ 47 4.8;0
Schleswig-Holstein;159;+ 32 5.5;0
Thuringia;74;+ 23 3.5;0
Total;8,198;+ 1,042 9.9;12
