"Table 1: Distribution of the laboratory-confirmed COVID-19-cases per federal state in Germany (19/03/2020, 0:00 AM)"
Electronically submitted cases
Federal State Number of
Number Difference cases/100.000 pop.
deaths
Baden-Württemberg 2.155 + 546 19.47 6
Bavaria 1.692 + 449 12.94 8
Berlin 573 + 182 15.29 0
Brandenburg 134 + 42 5.33 0
Bremen 80 + 11 11.71 0
Hamburg 432 + 74 23.46 0
Hesse 682 + 250 10.88 0
Mecklenburg-Western Pomerania  98 + 42 6.09 0
Lower Saxony 669 + 191 8.38 0
North Rhine-Westphalia 3.033 + 661 16.91 6
Rhineland-Palatinate 637 + 163 15.59 0
Saarland 99 + 11 9.99 0
Saxony 275 + 77 6.74 0
Saxony-Anhalt 140 + 35 6.34 0
Schleswig-Holstein 202 + 43 6.97 0
Thuringia 98 + 24 4.57 0
Total 10.999 + 2.801 13.23 20
