https://corona.rki.de
Table 1: Distribution of the laboratory-confirmed COVID-19-cases per federal state in Germany (26/03/2020, 12:00 A
Electronically submitted cases
Federal State Cases/100,000 Number of
Number Difference
pop. deaths
Baden-Wuerttemberg 7.283 1.214 66 56
Bavaria 7.993 1.435 61 47
Berlin 1.656 228 44 4
Brandenburg 477 48 19 1
Bremen 211 11 31 1
Hamburg 1.265 3 69
Hesse 2.157 403 34 6
Mecklenburg-Western  244 26 15
Pomerania
Lower Saxony 2.347 207 29 8
North Rhine-Westphalia 7.924 727 44 53
Rhineland-Palatinate 1.816 225 44 6
Saarland 433 30 44 2
Saxony 1.141 182 28 7
Saxony-Anhalt 418 43 19 1
Schleswig-Holstein 675 98 23 3
Thuringia 468 74 22 3
Total 36.508 4.954 44 198
