https://corona.rki.de
""
Table 1: Distribution of the laboratory-confirmed COVID-19-cases per federal state in Germany (30/03/2020, 00:00 A
Electronically submitted cases
Federal State Cases/100,000 Number of
Number Difference
pop. deaths
Baden-Wuerttemberg 10,943 1,149 99 119
Bavaria 13,989 1,108 107 127
Berlin 2,464 104 66 11
Brandenburg 761 40 30 2
Bremen 286 11 42 2
Hamburg 2,053 207 112 5
Hesse 3,091 486 49 13
Mecklenburg-Western  356 8 22 1
Pomerania
Lower Saxony 3,732 282 47 26
North Rhine-Westphalia 12,178 778 68 101
Rhineland-Palatinate 2,584 188 63 18
Saarland 706 146 71 7
Saxony 1,795 178 44 9
Saxony-Anhalt* 592 0 27 2
Schleswig-Holstein 1,049 44 36 7
Thuringia 719 22 34 5
Total 57,298 4,751 69 455
