https://corona.rki.de;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
;Total Number;Number of;Cases/100,000;Number of
Federal State;;;;
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;24,570;492;222;677
Bavaria;33,015;733;252;820
Berlin;4,601;34;123;51
Brandenburg;1,880;23;75;38
Bremen;486;6;71;17
Hamburg;3,770;28;205;56
Hesse;6,114;255;98;135
Mecklenburg-Western Pomerania;618;13;38;11
Lower Saxony;7,723;121;97;201
North Rhine-Westphalia;24,883;616;139;518
Rhineland-Palatinate;4,810;76;118;68
Saarland;2,079;21;210;44
Saxony;3,655;55;90;68
Saxony-Anhalt;1,193;27;54;24
Schleswig-Holstein;2,134;16;74;44
Thuringia;1,485;21;69;27
Total;123,016;2,537;148;2,799
