https://corona.rki.de.;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
;Total Number;Number of;Cases/100,000;Number of
Federal State;;;;
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;25,438;398;230;767
Bavaria;34,294;725;262;954
Berlin;4,722;54;126;62
Brandenburg;1,950;34;78;42
Bremen;500;8;73;21
Hamburg;3,869;61;210;67
Hesse;6,347;164;101;173
Mecklenburg-Western Pomerania;624;5;39;11
Lower Saxony;8,019;134;100;224
North Rhine-Westphalia;25,835;535;144;607
Rhineland-Palatinate;5,004;124;123;77
Saarland;2,145;33;217;58
Saxony;3,819;68;94;73
Saxony-Anhalt;1,223;16;55;26
Schleswig-Holstein;2,245;81;78;54
Thuringia;1,550;46;72;38
Total;127,584;2,486;153;3,254
