Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19 cases and dea
per federal state, Germany (17/04/2020, 12:00 AM).
Total Number Number of Cases/100,000 Number of
Federal State
of cases new cases pop. deaths
Baden-Wuerttemberg 26.543 662 240 872
Bavaria 36.027 885 276 1.137
Berlin 4.945 97 132 84
Brandenburg 2.120 62 84 60
Bremen 556 49 81 22
Hamburg 4.005 52 218 84
Hesse 6.705 235 107 197
Mecklenburg-Western Pomerania  634 0 39 13
Lower Saxony 8.442 254 106 274
North Rhine-Westphalia 27.030 647 151 726
Rhineland-Palatinate 5.211 124 128 92
Saarland 2.254 53 228 76
Saxony 4.048 93 99 95
Saxony-Anhalt 1.279 31 58 28
Schleswig-Holstein 2.349 55 81 59
Thuringia 1.682 81 78 49
Total 133.830 3.380 161 3.868
