Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19 cases and dea
per federal state, Germany (23/04/2020, 12:00 AM).
Total Number Number of Cases/100,000 Number of
Federal State
of cases new cases pop. deaths
Baden-Wuerttemberg 29,443 545 266 1,113
Bavaria 39,395 581 301 1,476
Berlin 5,324 12 142 105
Brandenburg 2,447 58 97 84
Bremen 672 48 98 27
Hamburg 4,286 82 233 113
Hesse 7,593 213 121 286
Mecklenburg-Western Pomerania  659 3 41 15
Lower Saxony 9,391 155 116 340
North Rhine-Westphalia 30,584 399 171 999
Rhineland-Palatinate 5,643 50 138 131
Saarland 2,395 28 242 99
Saxony 4,327 54 106 127
Saxony-Anhalt 1,425 30 65 34
Schleswig-Holstein 2,530 34 87 84
Thuringia 1,932 60 90 61
Total 148,046 2,352 178 5,094
