Federal State;Total Number;Number of;Cases/100,000;Number of.1
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;31,043;282;280;1,249
Bavaria;41,070;158;314;1,621
Berlin;5,638;38;150;125
Brandenburg;2,721;27;108;100
Bremen;754;15;110;27
Hamburg;4,475;46;243;142
Hesse;7,979;33;127;320
Mecklenburg-Western;674;1;42;16
Pomerania;;;;
Lower Saxony;9,847;62;123;391
North Rhine-Westphalia;31,879;210;178;1,131
Rhineland-Palatinate;5,879;44;144;152
Saarland;2,503;21;253;121
Saxony;4,458;30;109;147
Saxony-Anhalt;1,515;21;69;36
Schleswig-Holstein;2,638;8;91;98
Thuringia;2,120;22;99;74
Total;155,193;1,018;187;5,750
