Unnamed: 0;Total Number;Number of;Cases/100,000;Number of.1;Number of deaths/
Federal State;;;;;
;of cases;new cases;pop.;deaths;100,000 pop.
Baden-Wuerttemberg;31,196;153;282;1,269;11.5
Bavaria;41,406;336;317;1,681;12.9
Berlin;5,669;31;151;127;3.4
Brandenburg;2,747;26;109;106;4.2
Bremen;759;5;111;27;4.0
Hamburg;4,505;30;245;142;7.7
Hesse;8,026;47;128;333;5.3
Mecklenburg-Western;;;;;
;675;1;42;17;1.1
Pomerania;;;;;
Lower Saxony;9,926;79;124;394;4.9
North Rhine-Westphalia;3,2184;305;179;1,171;6.5
Rhineland-Palatinate;5,928;49;145;157;3.8
Saarland;2,509;6;253;123;12.4
Saxony;4,49;32;110;148;3.6
Saxony-Anhalt;1,52;5;69;39;1.8
Schleswig-Holstein;2,653;15;92;101;3.5
Thuringia;2,144;24;100;78;3.6
Total;156,337;1,144;188;5,913;7.1
