Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;31,919;310;288;1,385;12.5
Bavaria;42,489;409;325;1,850;14.1
Berlin;5,887;60;157;149;4.0
Brandenburg;2,872;41;114;120;4.8
Bremen;859;32;126;30;4.4
Hamburg;4,604;42;250;163;8.9
Hesse;8,376;72;134;360;5.7
Mecklenburg-Western;;;;;
;693;3;43;18;1.1
Pomerania;;;;;
Lower Saxony;10,141;74;127;429;5.4
North Rhine-Westphalia;33,058;371;184;1,261;7.0
Rhineland-Palatinate;6,086;57;149;172;4.2
Saarland;2,581;29;261;135;13.6
Saxony;4,592;31;113;162;4.0
Saxony-Anhalt;1,564;15;71;44;2.0
Schleswig-Holstein;2,714;24;94;110;3.8
Thuringia;2,323;69;108;93;4.3
Total;160,758;1,639;193;6,481;7.8
