Unnamed: 0;Total;Number;Unnamed: 3;Cases in;Unnamed: 5;Unnamed: 6;Number of
;;;Cases/;;7-day;Number;
Federal State;Number;of new;;the last;;;deaths/
;;;100,000 pop.;;incidence;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
Baden-;;;;;;;
;34,115;81;308;455;4,1;1,672;15
Wuerttemberg;;;;;;;
Bavaria;45,766;127;350;823;6,3;2,339;18
Berlin;6,507;29;174;182;4,9;186;5
Brandenburg;3,193;8;127;44;1,8;151;6
Bremen;1,256;19;184;132;19,3;38;6
Hamburg;5,042;0;274;41;2,2;236;13
Hesse;9,483;115;151;368;5,9;446;7
Mecklenburg-;;;;;;;
Western;755;3;47;19;1,2;20;1
Pomerania;;;;;;;
Lower Saxony;11,288;81;141;269;3,4;557;7
North Rhine-;;;;;;;
;36,766;281;205;1,175;6,6;1,537;9
Westphalia;;;;;;;
Rhineland-;;;;;;;
;6,529;9;160;160;3,9;222;5
Palatinate;;;;;;;
Saarland;2,703;4;273;31;3,1;154;16
Saxony;5,150;17;126;132;3,2;198;5
Saxony-Anhalt;1,680;1;76;25;1,1;54;2
Schleswig-Holstein;3,014;12;104;39;1,3;131;5
Thuringia;2,760;10;129;107;5,0;149;7
Total;176,007;797;212;4,002;4,8;8,090;10
