Unnamed: 0;Total Number;Unnamed: 2;Cases in;Unnamed: 4;Unnamed: 5;Number of
;;Cases/;;7-day;Number;
Federal State;Number of new;;the last;;;deaths/
;;100,000 pop.;;incidence;of deaths;
;of cases cases;;7 days;;;100,000 pop.
Baden-;;;;;;
15.2 Wuerttemberg*;34,174 -1;309;287;2.6;1,680;
Bavaria;46,024 95;352;692;5.3;2,358;18.0
Berlin;6,585 30;176;159;4.2;190;5.1
Brandenburg;3,211 6;128;29;1.2;152;6.1
Bremen;1,291 18;189;115;16.8;39;5.7
Hamburg;5,059 6;275;31;1.7;240;13.0
Hesse;9,656 82;154;423;6.8;457;7.3
