Total Number Federal State Number of deaths of cases;Unnamed: 1;Number of new cases;Unnamed: 3;Unnamed: 4;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 6;Unnamed: 7;7-day incidence;Unnamed: 9;Unnamed: 10;Unnamed: 11;100,000 pop.
Baden-Wuerttemberg 34,399;;54.0;;;311 374;;;3.4;;1,697;;15.3
Bavaria 46,206;;74.0;;;353 650;;;5.0;;2,377;;18.2
Berlin 6,637;;23.0;;;177 180;;;4.8;;191;;5.1
Brandenburg 3,214;;1.0;;;128 18;;;0.7;;154;;6.1
Bremen 1,299;;3.0;;;190 82;;;12.0;;41;;6.0
Hamburg 5,066;;3.0;;;275 22;;;1.2;;241;;13.1
Hesse 9,762;;92.0;;;156 428;;;6.8;;460;;7.3
Mecklenburg-Western;;;;;;;;;;;;
Pomerania  760;;-3.0;;;47 11;;;0.7;;20;;1.2
Lower Saxony 11,578;;57.0;;;145 372;;;4.7;;572;;7.2
North Rhine-;;;;;;;;;;;;
Westphalia 37,223;;84.0;;;208 865;;;4.8;;1,563;;8.7
Rhineland-Palatinate 6,590;;8.0;;;161 107;;;2.6;;227;;5.6
Saarland 2,713;;4.0;;;274 18;;;1.8;;157;;15.9
Saxony 5,221;;2.0;;;128 94;;;2.3;;204;;5.0
Saxony-Anhalt 1,694;;2.0;;;77 17;;;0.8;;54;;2.4
Schleswig-Holstein 3,062;;0.0;;;106 61;;;2.1;;137;;4.7
Thuringia 2,857;;27.0;;;133 118;;;5.5;;152;;7.1
Total 178,281;;431.0;;;214 3,417;;;4.1;;8,247;;9.9
