7-day Total Number Federal State Number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,466;35.0;;;311 368;;;3.3;;;1,707;;15.4
Bavaria 46,456;130.0;;;355 738;;;5.6;;;2,401;;18.4
Berlin 6,652;10.0;;;177 155;;;4.1;;;191;;5.1
Brandenburg 3,236;22.0;;;129 29;;;1.2;;;154;;6.1
Bremen 1,313;1.0;;;192 75;;;11.0;;;42;;6.1
Hamburg 5,069;0.0;;;275 23;;;1.2;;;241;;13.1
Hesse 9,804;34.0;;;156 336;;;5.4;;;462;;7.4
Mecklenburg-Western  760;0.0;;;47 10;;;0.6;;;20;;1.2
Pomerania;;;;;;;;;;;;
Lower Saxony 11,646;68.0;;;146 361;;;4.5;;;574;;7.2
North Rhine- 37,395;97.0;;;209 769;;;4.3;;;1,571;;8.8
Westphalia;;;;;;;;;;;;
Rhineland-Palatinate 6,600;4.0;;;162 82;;;2.0;;;228;;5.6
Saarland 2,727;11.0;;;275 22;;;2.2;;;158;;16.0
Saxony 5,236;5.0;;;128 89;;;2.2;;;207;;5.1
Saxony-Anhalt 1,698;4.0;;;77 19;;;0.9;;;54;;2.4
Schleswig-Holstein 3,067;5.0;;;106 64;;;2.2;;;139;;4.8
Thuringia 2,877;6.0;;;134 120;;;5.6;;;153;;7.1
Total 179,002;432.0;;;215 3,260;;;3.9;;;8,302;;10.0
