Total of Federal State Number of deaths cases;of Number of 100,000 new cases Cases/ 100,000 pop.;Unnamed: 2;Cases the last 7 days;Unnamed: 4;Unnamed: 5;in;7-day incidence per 100,000 pop.;Unnamed: 8;Unnamed: 9;Number;Unnamed: 11;Unnamed: 12;Number deaths/ pop.
Baden-Wuerttemberg 34,129;-371* 308;;261;;;;2.4;;;1,724;;;15.6
Bavaria 46,729;271 357;;695;;;;5.3;;;2,438;;;18.6
Berlin 6,703;30 179;;110;;;;2.9;;;195;;;5.2
Brandenburg 3,261;15 130;;26;;;;1.0;;;155;;;6.2
Bremen 1,348;26 197;;73;;;;10.7;;;41;;;6.0
Hamburg 5,076;4 276;;15;;;;0.8;;;245;;;13.3
Hesse 9,915;55 158;;281;;;;4.5;;;471;;;7.5
Mecklenburg-Western;;;;;;;;;;;;;
1.2 Pomerania  760;0 47;;1;;;;0.1;;;20;;;
Lower Saxony 11,750;72 147;;311;;;;3.9;;;583;;;7.3
North Rhine-;;;;;;;;;;;;;
8.8 Westphalia 37,698;157 210;;702;;;;3.9;;;1,582;;;
Rhineland-Palatinate 6,652;41 163;;76;;;;1.9;;;230;;;5.6
Saarland 2,731;1 276;;20;;;;2.0;;;161;;;16.3
Saxony 5,260;13 129;;51;;;;1.3;;;210;;;5.1
Saxony-Anhalt 1,701;3 77;;11;;;;0.5;;;55;;;2.5
Schleswig-Holstein 3,072;2 106;;46;;;;1.6;;;143;;;4.9
Thuringia 2,932;34 137;;122;;;;5.7;;;158;;;7.4
Total 179,717;353 216;;2,801;;;;3.4;;;8,411;;;10.1
