Total of Federal State Number of deaths cases;of Number of 100,000 new cases Cases/ 100,000 pop.;Unnamed: 2;Cases the last 7 days;Unnamed: 4;Unnamed: 5;in;7-day incidence per 100,000 pop.;Unnamed: 8;Unnamed: 9;Number;Unnamed: 11;Unnamed: 12;Number deaths/ pop.;Unnamed: 14
Baden-Wuerttemberg 34,479;350* 311;;310;;;;2,8;;;1,743;;;;15.7
Bavaria 46,809;80 358;;707;;;;5,4;;;2,441;;;;18.7
Berlin 6,738;35 180;;136;;;;3,6;;;196;;;;5.2
Brandenburg 3,271;10 130;;31;;;;1,2;;;155;;;;6.2
Bremen 1,372;24 201;;81;;;;11,9;;;41;;;;6.0
Hamburg 5,078;2 276;;12;;;;0,7;;;246;;;;13.4
Hesse 9,962;47 159;;298;;;;4,8;;;476;;;;7.6
Mecklenburg-Western;;;;;;;;;;;;;;
1.2 Pomerania  759;-1 47;;1;;;;0,1;;;20;;;;
Lower Saxony 11,832;82 148;;344;;;;4,3;;;585;;;;7.3
North Rhine-;;;;;;;;;;;;;;
8.9 Westphalia 37,803;105 211;;703;;;;3,9;;;1,588;;;;
Rhineland-Palatinate 6,673;21 163;;92;;;;2,3;;;230;;;;5.6
Saarland 2,716;-15** 274;;20;;;;2,0;;;162;;;;16.4
Saxony 5,230;-30** 128;;66;;;;1,6;;;209;;;;5.1
Saxony-Anhalt 1,700;-1 77;;9;;;;0,4;;;55;;;;2.5
Schleswig-Holstein 3,078;6 106;;29;;;;1,0;;;144;;;;5.0
Thuringia 2,958;26 138;;128;;;;6,0;;;159;;;;7.4
Total 180,458;741 217;;2,967;;;;3,6;;;8,450;;;;10.2
