Total of Federal State Number of deaths cases;Number of Number of deaths/ 100,000 new cases Cases/ 100,000 pop.;Unnamed: 2;Cases in the last 7 days;Unnamed: 4;Unnamed: 5;7-day incidence per 100,000 pop.;Unnamed: 7;Unnamed: 8;Number;Unnamed: 10;Unnamed: 11;pop.;Unnamed: 13
Baden-Wuerttemberg 34,718;239 314;;288;;;2.6;;;1.7480000000000002;;;;15.8
Bavaria 46,854;45 358;;635;;;4.9;;;2.45;;;;18.7
Berlin 6,767;29 181;;129;;;3.4;;;197.0;;;;5.3
Brandenburg* 3,266;-5 130;;32;;;1.3;;;155.0;;;;6.2
Bremen 1,398;26 205;;103;;;15.1;;;42.0;;;;6,1
Hamburg 5,082;4 276;;8;;;0.4;;;246.0;;;;13.4
Hesse 10,003;41 160;;289;;;4.6;;;476.0;;;;7.6
Mecklenburg-Western;;;;;;;;;;;;;
1.2 Pomerania  760;1 47;;2;;;0.1;;;20.0;;;;
Lower Saxony 11,958;126 150;;376;;;4.7;;;593.0;;;;7.4
North Rhine-;;;;;;;;;;;;;
8.9 Westphalia 37,910;107 211;;713;;;4.0;;;1.595;;;;
Rhineland-Palatinate 6,695;22 164;;103;;;2.5;;;230.0;;;;5.6
Saarland 2,723;7 275;;24;;;2.4;;;163.0;;;;16.5
Saxony 5,297;67 130;;66;;;1.6;;;213.0;;;;5.2
Saxony-Anhalt 1,701;1 77;;9;;;0.4;;;55.0;;;;2.5
Schleswig-Holstein 3,090;12 107;;23;;;0.8;;;145.0;;;;5.0
Thuringia 2,974;16 139;;126;;;5.9;;;161.0;;;;7.5
Total 181,196;738 218;;2,926;;;3.5;;;8.488999999999999;;;;10.2
