Total of Federal State Number of deaths cases;Unnamed: 1;Number of Number of deaths/ 100,000 new cases Cases/ 100,000 pop.;Unnamed: 3;Cases in the last 7 days;Unnamed: 5;Unnamed: 6;7-day incidence per 100,000 pop.;Unnamed: 8;Unnamed: 9;Number;Unnamed: 11;Unnamed: 12;pop.;Unnamed: 14
Baden-;;;;;;;;;;;;;;
Wuerttemberg*;;;;;;;;;;;;;;
34,718;;0 314;;236;;;2.1;;;1,748;;;15.8;
Bavaria 46,917;;63 359;;621;;;4.7;;;2,450;;;18.7;
Berlin 6,800;;33 181;;155;;;4.1;;;198;;;;5.3
Brandenburg 3,271;;5 130;;33;;;1.3;;;155;;;;6.2
Bremen* 1,398;;0 205;;100;;;14.6;;;42;;;;6.1
Hamburg 5,087;;5 276;;9;;;0.5;;;252;;;13.7;
Hesse 10,033;;30 160;;269;;;4.3;;;477;;;;7.6
Mecklenburg-Western;;;;;;;;;;;;;;
Pomerania;;;;;;;;;;;;;;
761;;1 47;;3;;;0.2;;;20;;;;1.2
Lower Saxony 11,992;;34 150;;373;;;4.7;;;593;;;;7.4
North Rhine-;;;;;;;;;;;;;;
Westphalia;;;;;;;;;;;;;;
38,000;;90 212;;728;;;4.1;;;1,597;;;;8.9
Rhineland-Palatinate 6,694;;-1 164;;96;;;2.4;;;230;;;;5.6
Saarland 2,724;;1 275;;21;;;2.1;;;163;;;16.5;
Saxony 5,304;;7 130;;68;;;1.7;;;213;;;;5.2
Saxony-Anhalt 1,705;;4 77;;11;;;0.5;;;55;;;;2.5
Schleswig-Holstein 3,094;;4 107;;27;;;0.9;;;145;;;;5.0
Thuringia 2,984;;10 139;;122;;;5.7;;;162;;;;7.6
Total 181,482;;286 218;;2,872;;;3.5;;;8,500;;;10.2;
