Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Cases in;7-day;Unnamed: 6;Unnamed: 7;Number of
;;Number of;Cases/;;;Number;of;
Federal State;Number of;;;the last;incidence per;;;deaths/ 100,000
;;new cases;100,000 pop.;;;deaths;;
;cases;;;7 days;100,000 pop.;;;pop.
Baden-Wuerttemberg;;;;;;;;
;34,796;12;314;263;2.4;1,758;;15.9
Bavaria;;;;;;;;
;47,029;25;360;543;4.2;2,456;;18.8
Berlin;;;;;;;;
;6,839;23;182;169;4.5;198;;5.3
Brandenburg;;;;;;;;
;3,274;1;130;29;1.2;155;;6.2
Bremen*;;;;;;;;
;1,436;38;210;123;18.0;42;;6.1
Hamburg;;;;;;;;
;5,098;9;277;16;0.9;253;;13.7
Hesse;;;;;;;;
;10,060;13;161;252;4.0;480;;7.7
Mecklenburg-Western;;;;;;;;
Pomerania;761;0;47;2;0.1;20;;1.2
Lower Saxony;;;;;;;;
;12,065;22;151;392;4.9;594;;7.4
North Rhine-;;;;;;;;
Westphalia;38,100;54;212;640;3.6;1,599;;8.9
Rhineland-Palatinate;;;;;;;;
;6,704;1;164;97;2.4;230;;5.6
Saarland;;;;;;;;
;2,730;6;276;21;2.1;163;;16.5
Saxony;;;;;;;;
;5,309;0;130;58;1.4;211;;5.2
Saxony-Anhalt;;;;;;;;
;1,707;1;77;8;0.4;55;;2.5
Schleswig-Holstein;;;;;;;;
;3,103;6;107;36;1.2;145;;5.0
Thuringia;;;;;;;;
;3,017;2;141;126;5.9;163;;7.6
Total;;;;;;;;
;182,028;213;219;2,775;3.3;8,522;;10.3
