Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;7-day;Unnamed: 6;Unnamed: 7
;Total;Number;;Cases in;;;Number of
;;;Cases/;;incidence;Number;
Federal State;Number;of new;;the last;;;deaths/
;;;100,000 pop.;;per 100,000;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
;;;;;pop.;;
Baden-Wuerttemberg;34,912;14;315;133;1.2;1.791;16.2
Bavaria;47,334;8;362;297;2.3;2.501;19.1
Berlin;6,997;33;187;184;4.9;205;5.5
Brandenburg;3,297;3;131;16;0.6;158;6.3
Bremen;1,517;4;222;89;13.0;44;6.4
Hamburg;5,113;2;278;26;1.4;254;13.8
Hesse;10,203;32;163;138;2.2;484;7.7
Mecklenburg-Western;;;;;;;
Pomerania;773;7;48;12;0.7;20;1.2
Lower Saxony;12,466;67;156;416;5.2;605;7.6
North Rhine-;;;;;;;
Westphalia;38,616;92;215;594;3.3;1.623;9.1
Rhineland-Palatinate;6,775;14;166;71;1.7;230;5.6
Saarland;2,747;7;277;22;2.2;166;16.8
Saxony;5,323;2;131;19;0.5;214;5.2
Saxony-Anhalt;1,720;3;78;12;0.5;56;2.5
Schleswig-Holstein;3,109;2;107;13;0.4;147;5.1
Thuringia;3,077;11;144;63;2.9;170;7.9
Total;183,979;301;221;2,105;2.5;8,668;10.4
