7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,937;25.0;;;316 147;;;1.3;;;1,791;;16.2
Bavaria 47,371;37.0;;;362 284;;;2.2;;;2,505;;19.2
Berlin 7,016;19.0;;;187 176;;;4.7;;;205;;5.5
Brandenburg 3,304;;7.0;;132 23;;;0.9;;;160;;6.4
Bremen 1,531;14.0;;;224 96;;;14.1;;;44;;6.4
Hamburg 5,115;;2.0;;278 22;;;1.2;;;254;;13.8
Hesse 10,207;;4.0;;163 131;;;2.1;;;484;;7.7
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 774;;1.0;;48 13;;;0.8;;;20;;1.2
Lower Saxony 12,509;43.0;;;157 436;;;5.5;;;605;;7.6
North Rhine-;;;;;;;;;;;;
Westphalia 38,660;44.0;;;216 594;;;3.3;;;1,623;;9.1
Rhineland-Palatinate 6,781;;6.0;;166 77;;;1.9;;;230;;5.6
Saarland 2,747;;0.0;;277 22;;;2.2;;;166;;16.8
Saxony 5,330;;7.0;;131 26;;;0.6;;;214;;5.2
Saxony-Anhalt 1,720;;0.0;;78 12;;;0.5;;;56;;2.5
Schleswig-Holstein 3,110;;1.0;;107 11;;;0.4;;;147;;5.1
Thuringia 3,081;;4.0;;144 60;;;2.8;;;170;;7.9
Total 184,193;214.0;;;222 2,130;;;2.6;;;8,674;;10.4
