Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.128 14;751 1;1.336 4
Aragón;2.625 11;265 0;836 7
Asturias;2.252 13;151 0;308 1
Baleares;1.131 0;171 0;216 1
Canarias;937 0;178 0;151 0
Cantabria;1.030 1;79 0;205 0
Castilla La Mancha;8.980 17;634 2;2.852 17
Castilla y León;8.560 43;548 1;1.925 6
Cataluña;29.305 38;3.048 14;5.823 131
Ceuta;11 0;4 0;4 0
C. Valenciana;5.389 19;717 0;1.349 8
Extremadura;1.761 7;109 0;492 3
Galicia;2.915 10;327 0;601 4
Madrid;41.962 106;3.564 9;8.779 19
Melilla;44 0;3 0;2 0
Murcia;672 6;112 0;142 0
Navarra;2.045 3;135 0;498 4
País Vasco;6.994 39;577 2;1.454 12
La Rioja;1.484 3;91 0;348 0
ESPAÑA;124.225 330;11.464 29;27.321 217
