Unnamed: 0;Casos que han precisado hospitalización Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso Con fecha de ingreso;;Con fecha de defunción
;Total* Total** en  los últimos 7 días Total* en UCI en  los últimos;;en  los últimos 7 días
;7 días;;
Andalucía;6.262 6 772 1;1.4040000000000001;1
Aragón;2.645 13 267 0;826.0;2
Asturias;1.107 6 124 0;310.0;1
Baleares;1.168 5 165 0;209.0;0
Canarias;949 6 180 1;151.0;1
Cantabria;1.043 5 79 0;202.0;0
Castilla La Mancha;9.303 22 651 2;2.945;0
Castilla y León;8.590 38 549 2;1.9240000000000002;6
Cataluña;29.132 54 2.976 2;5.587000000000001;11
Ceuta;12 1 4 0;4.0;0
C. Valenciana;5.747 5 735 0;1.3319999999999999;2
Extremadura;1.768 3 110 0;508.0;6
Galicia;2.924 3 329 0;609.0;3
Madrid;42.014 77 3.544 1;8.691;3
Melilla;44 0 3 0;2.0;0
Murcia;683 3 112 0;148.0;1
Navarra;2.037 3 135 0;490.0;0
País Vasco;6.959 9 574 0;1.4240000000000002;0
La Rioja;1.484 4 91 0;361.0;2
ESPAÑA;123.871 263 11.400 9;27.127;39
