Unnamed: 0;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
Casos CCAA;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
Totales*;;;;;
;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía 12.776;8;152 1,81;87 1,03;38 0,45;12 0,14
Aragón 5.770;12;184 13,95;81 6,14;47 3,56;17 1,29
Asturias 2.426;2;33 3,23;6 0,59;4 0,39;1 0,10
Baleares 2.118;1;54 4,70;17 1,48;10 0,87;4 0,35
Canarias 2.364;2;50 2,32;19 0,88;6 0,28;1 0,05
Cantabria 2.320;0;34 5,85;11 1,89;12 2,07;7 1,20
Castilla La Mancha 17.472;2;407 20,02;120 5,90;85 4,18;11 0,54
Castilla y León 19.104;4;555 23,13;221 9,21;63 2,63;14 0,58
Cataluña 59.199;24;1.844 24,03;529 6,89;347 4,52;85 1,11
Ceuta 163;0;38 44,82;18 21,23;16 18,87;5 5,90
C. Valenciana 11.300;11;194 3,88;83 1,66;30 0,60;11 0,22
Extremadura 2.977;1;23 2,15;11 1,03;11 1,03;4 0,37
Galicia 9.144;0;39 1,44;7 0,26;12 0,44;1 0,04
Madrid 69.562;86;1.450 21,76;674 10,11;265 3,98;76 1,14
Melilla 122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia 1.616;0;34 2,28;14 0,94;1 0,07;0 0,00
Navarra 5.285;10;111 16,97;39 5,96;14 2,14;7 1,07
País Vasco 13.535;1;72 3,26;22 1,00;21 0,95;8 0,36
La Rioja 4.057;0;17 5,37;6 1,89;7 2,21;1 0,32
ESPAÑA 241.310;164;5.292 11,25;1.966 4,18;989 2,10;265 0,56
