Casos que han precisado hospitalización Casos que han ingresado en UCI;Unnamed: 0;Unnamed: 1;Fallecidos
Con fecha de ingreso CCAA Con fecha de ingreso;;;Con fecha de defunción
Total* Total* en UCI en  los últimos;;Total**;
en  los últimos 7 días;;;en  los últimos 7 días
7 días;;;
Andalucía 6.304 20 788 0;;1.404;1
Aragón 2.667 13 272 2;;826;2
Asturias 1.110 5 125 0;;313;11
Baleares 1.167 2 169 0;;209;0
Canarias 948 2 184 0;;151;2
Cantabria 1.047 3 79 0;;202;0
Castilla La Mancha 9.352 14 658 3;;2.945;0
Castilla y León 8.691 25 621 3;;1.928;16
Cataluña 29.196 23 2.975 1;;5.587;4
Ceuta 14 2 4 0;;4;0
C. Valenciana 5.790 4 739 0;;1.332;0
Extremadura 1.772 3 138 0;;508;4
Galicia 2.932 4 336 0;;609;0
Madrid 42.100 42 3.593 5;;8.691;24
Melilla 44 0 3 0;;2;0
Murcia 682 1 115 0;;148;0
Navarra 2.038 2 136 1;;490;0
País Vasco 6.963 3 578 0;;1.424;0
La Rioja 1.485 1 91 0;;362;3
ESPAÑA 124.302 169 11.604 15;;27.135;67
