Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.835;2;103 1,22;33 0,39;15 0,18;6 0,07
Aragón;5.845;2;126 9,55;43 3,26;29 2,20;7 0,53
Asturias;2.438;1;13 1,27;7 0,68;3 0,29;0 0,00
Baleares;2.163;3;50 4,35;26 2,26;20 1,74;10 0,87
Canarias;2.382;1;29 1,35;10 0,46;4 0,19;2 0,09
Cantabria;2.336;2;22 3,79;12 2,07;9 1,55;2 0,34
Castilla La Mancha;17.828;1;346 17,02;103 5,07;52 2,56;11 0,54
Castilla y León;19.365;2;363 15,13;119 4,96;37 1,54;7 0,29
Cataluña;59.944;14;1.388 18,08;587 7,65;268 3,49;50 0,65
Ceuta;163;0;8 9,44;0 0,00;2 2,36;0 0,00
C. Valenciana;11.421;0;174 3,48;72 1,44;28 0,56;8 0,16
Extremadura;2.990;2;18 1,69;12 1,12;5 0,47;0 0,00
Galicia;9.161;1;24 0,89;11 0,41;8 0,30;3 0,11
Madrid;70.675;42;1.428 21,43;528 7,92;236 3,54;50 0,75
Melilla;124;0;2 2,31;2 2,31;1 1,16;1 1,16
Murcia;1.629;0;24 1,61;4 0,27;3 0,20;1 0,07
Navarra;5.312;1;53 8,10;17 2,60;11 1,68;3 0,46
País Vasco;13.648;2;127 5,75;72 3,26;46 2,08;9 0,41
La Rioja;4.069;0;17 5,37;7 2,21;5 1,58;1 0,32
ESPAÑA;244.328;76;4.315 9,18;1.665 3,54;782 1,66;171 0,36
