CCAA,Total casos,IA Total*,Ingreso en UCI,Fallecidos
Andalucía,71.0,"0,84",1,0
Aragón,38.0,"2,88",3,3
Asturias,22.0,"2,15",2,0
Baleares,13.0,"1,13",1,0
Canarias,25.0,"1,16",1,0
Cantabria,12.0,"2,07",0,0
Castilla La Mancha,39.0,"1,92",2,0
Castilla y León,56.0,"2,33",2,0
Cataluña,124.0,"1,62",0,3
Ceuta,0.0,"0,00",0,0
C. Valenciana,50.0,"1,00",1,1
Extremadura,8.0,"0,75",0,0
Galicia,22.0,"0,81",2,0
Madrid,782.0,"11,74",77,21
Melilla,0.0,"0,00",0,0
Murcia,9.0,"0,60",0,0
Navarra,12.0,"1,83",2,0
País Vasco,195.0,"8,83",5,6
La Rioja,144.0,"45,45",1,1
Total,1.6219999999999999,"3,48",100,35
