CCAA TOTAL conf.;IA (14 d.);Hospitalizados;Unnamed: 3;UCI;Fallecidos;Curados;Nuevos
Andalucía 1.961;22,66;865.0;;77.0;58.0;50.0;236.0
Aragón 638;47,37;298.0;;52.0;32.0;3.0;106.0
Asturias 594;57,39;194.0;;22.0;12.0;21.0;49.0
Baleares 400;33,84;87.0;;27.0;10.0;18.0;69.0
Canarias 481;21,32;172.0;;32.0;11.0;7.0;67.0
Cantabria 347;57,65;157.0;;14.0;6.0;11.0;65.0
Castilla La Mancha 2.078;100,94;1.547;;142.0;145.0;51.0;259.0
Castilla y León 2.055;84,68;860.0;;120.0;102.0;117.0;311.0
Cataluña 5.925;76,22;1.681;;551.0;245.0;644.0;1.2209999999999999
Ceuta 6;7,08;0.0;;0.0;0.0;0.0;1.0
C. Valenciana 1.901;37,25;702.0;;138.0;94.0;36.0;297.0
Extremadura 493;45,52;131.0;;13.0;18.0;6.0;109.0
Galicia 1.208;44,53;270.0;;47.0;18.0;19.0;293.0
Madrid 10.575;151,66;9.561;;942.0;1.263;2.063;873.0
Melilla 28;32,37;12.0;;1.0;0.0;0.0;3.0
Murcia 345;22,83;80.0;;23.0;2.0;1.0;49.0
Navarra 886;134,97;339.0;;40.0;24.0;7.0;92.0
País Vasco 2.421;102,91;1.252;;92.0;120.0;283.0;324.0
La Rioja 747;210,23;166.0;;22.0;22.0;18.0;93.0
ESPAÑA 33.089;68,24;18.374000000000002;;2.355;2.182;3.355;4.5169999999999995
IA: Incidencia acumulada (casos acumulados por 100.000 habitantes);;;;;;;
Fuente elaboración propia;;;;;;;
