CCAA TOTAL conf.,IA (14 d.),Hospitalizados,Unnamed: 3,UCI,Fallecidos,Curados,Nuevos
Andalucía 2.471,"28,52",1.1320000000000001,,102.0,87.0,66.0,510.0
Aragón 758,"54,57",384.0,,66.0,37.0,3.0,120.0
Asturias 662,"62,57",224.0,,23.0,22.0,30.0,68.0
Baleares 478,"40,45",127.0,,35.0,10.0,19.0,78.0
Canarias 557,"24,71",207.0,,36.0,16.0,8.0,76.0
Cantabria 425,"71,07",200.0,,16.0,9.0,12.0,78.0
Castilla La Mancha 2.465,"119,34",1.8259999999999998,,182.0,216.0,53.0,387.0
Castilla y León 2.460,"100,19",1.057,,137.0,124.0,140.0,405.0
Cataluña 7.864,"100,84",3.5989999999999998,,551.0,282.0,728.0,1.939
Ceuta 6,"7,08",0.0,,0.0,0.0,0.0,0.0
C. Valenciana 2.167,"42,31",917.0,,161.0,115.0,37.0,266.0
Extremadura 636,"58,82",161.0,,20.0,26.0,8.0,143.0
Galicia 1.415,"51,60",338.0,,55.0,20.0,19.0,207.0
Madrid 12.352,"173,64",10.443,,1.05,1.535,2.291,1.777
Melilla 28,"32,37",12.0,,1.0,0.0,0.0,0.0
Murcia 385,"25,17",99.0,,26.0,3.0,1.0,40.0
Navarra 1.014,"153,16",405.0,,45.0,31.0,11.0,128.0
País Vasco 2.728,"114,73",1.425,,106.0,133.0,344.0,307.0
La Rioja 802,"207,70",206.0,,24.0,30.0,24.0,55.0
ESPAÑA 39.673,"80,91",22.761999999999997,,2.636,2.696,3.7939999999999996,6.584
,,,,,,,
,,,,,,,
IA: Incidencia acumulada (casos acumulados por 100.000 habitantes),,,,,,,
Fuente elaboración propia,,,,,,,
