Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;ingresado en;Fallecidos;Curados;Nuevos
;confirmados*;;hospitalización¥;UCI;;;
Andalucía;9.510;67,94;4.715;582;691;1.437;249
Aragón;3.831;188,97;1.822;263;409;797;146
Asturias;1.799;87,90;1.083;100;121;372;62
Baleares;1.488;63,77;777;136;97;737;40
Canarias;1.858;45,51;738;141;94;386;24
Cantabria;1.659;146,11;747;73;102;265;40
Castilla La Mancha;13.063;449,07;2.359¥;329¥;1.431;1.982;574
Castilla y León;11.102;290,47;5.674;332¥;1.129;3.506;584
Cataluña;31.824;246,04;21.530;2.582;3.231;13.513;781
Ceuta;91;87,29;9;4;4;12;7
C. Valenciana;8.331;95,91;3.987;561;796;2.085;367
Extremadura;2.332;103,12;1.003;101;288;397;59
Galicia;6.946;171,29;2.165;151¥;243;997;188
Madrid;44.783;383,29;12.432¥;1.399¥;5.972;22.414;906
Melilla;95;61,28;41;3;2;17;2
Murcia;1.383;44,78;533;88;90;255;27
Navarra;3.748;322,07;1.620;124;218;560;173
País Vasco;10.103;249,21;5.290;442;729;4.680;297
La Rioja;3.076;580,81;1.047;71;196;1.256;50
ESPAÑA;157.022;197,68;;;15.843;55.668;4.576
