Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,hospitalización¥,UCI,,,
Andalucía,9.712,"64,59",4.808,602,737,1.630,202
Aragón,3.969,"180,17",1.860,266,425,888,138
Asturias,1.827,"80,47",1.147,105,128,414,28
Baleares,1.507,"56,11",778,137,102,757,19
Canarias,1.887,"40,03",745,144,95,432,29
Cantabria,1.719,"134,58",773,75,107,281,60
Castilla La Mancha,13.456,"439,97",2.198¥,316¥,1.483,2.205,393
Castilla y León,11.543,"281,39",5.817,327¥,1.180,3.757,441
Cataluña,32.984,"243,91",21.921,2.629,3.331,14.258,1.160
Ceuta,93,"89,65",9,4,4,17,2
C. Valenciana,8.578,"90,81",4.132,565,818,2.289,247
Extremadura,2.486,"102,27",1.052,104,303,462,154
Galicia,7.176,"163,14",2.215,144¥,261,1.082,230
Madrid,45.849,"365,11",11.894¥,1.376¥,6.084,23.663,1.066
Melilla,98,"61,28",43,3,2,18,3
Murcia,1.413,"40,90",533,88,94,275,30
Navarra,3.817,"303,88",1.641,124,227,603,69
País Vasco,10.515,"243,64",5.402,453,765,4.741,412
La Rioja,3.223,"564,08",1.082,73,207,1.337,147
ESPAÑA,161.852,"190,54",,,16.353,59.109,4.830
