Tabla 1. Casos de COVID-19 confirmados, totales y nuevos, así como desglose por tipo de prueba (PCR y test rápidos de anticuerpos) de los casos confirmados acumulados e
incidencia acumulada (IA) en los últimos 14 días por Comunidades Autónomas en España, 16.04.2020 (datos consolidados a las 21:00 horas del 15.04.2020).
""
Confirmados Confirmados IA
CCAA PCR Test rápidos de
Total Nuevos (14 d.)
anticuerpos
Andalucía 10.807 212 10592 215 45,58
Aragón 4.566 228 4411 155 141,44
Asturias 2.170 74 2081 89* 76,85
Baleares 1.637 31 37,67
Canarias 1.988 13 1988 25,26
Cantabria 1.845 22 99,30
Castilla La Mancha 15.151 471 367,41
Castilla y León 14.380 683 292,76
Cataluña 37.354 849 202,60
Ceuta 100 2 98 2 53,08
C. Valenciana 9.615 191 66,09
Extremadura 2.881 119 2581 300 97,78
Galicia 7.873 165 112,28
Madrid 50.694 1.168 278,22
Melilla 103 1 103 47,41
Murcia 1.598 78 1424 174 34,41
Navarra 4.348 102 254,66
País Vasco 11.790 315 202,60
La Rioja 3.916 459 3539 377 578,60
