Unnamed: 0;Total Nuevos;Total;Nuevos;Total.1;Nuevos.1;Total.2;Nuevos.2
Andalucía;5.226 79;671;6.0;912.0;47.0;2.634;410.0
Aragón;2.108 102;291;9.0;543.0;29.0;1.087;75.0
Asturias;1.432 45;116;2.0;168.0;2.0;522.0;35.0
Baleares;872 15;152;3.0;131.0;6.0;918.0;37.0
Canarias;802 21;156;4.0;107.0;3.0;673.0;51.0
Cantabria;890 17;77;1.0;137.0;5.0;442.0;79.0
Castilla La Mancha;7.987 91;503;8.0;1.796;41.0;3.378;380.0
Castilla y León;6.449 143;307¥;;1.3719999999999999;35.0;4.725;204.0
Cataluña;23.680 308;2.798;9.0;3.855;99.0;17.297;646.0
Ceuta;9 0;4;0.0;4.0;0.0;41.0;11.0
C. Valenciana;4.524 59;625;37.0;972.0;27.0;3.702;342.0
Extremadura;1.186 31;110;1.0;359.0;17.0;649.0;34.0
Galicia;2.494 23;123¥;;310.0;11.0;1.383;85.0
Madrid;9.653 0;1.206¥;;6.877000000000001;153.0;28.491;1058.0
Melilla;43 0;3;0.0;2.0;0.0;27.0;3.0
Murcia;575 1;97;0.0;111.0;2.0;516.0;3.0
Navarra;1.752 21;124;0.0;261.0;9.0;845.0;37.0
País Vasco;5.863 113;478;7.0;956.0;54.0;5.813;385.0
La Rioja;1.207 25;75;0.0;257.0;11.0;1.6540000000000001;72.0
ESPAÑA;;;;19.13;551.0;74.797;3.947
;;;;;;;
;;;;;;;
Aclaraciones de las Tablas 1 y 2:;;;;;;;
IA (14 d.): Incidencia acumulada (casos acumulados por 100.000 habitantes notificados en los últimos 14 días.;;;;;;;
Los datos de las CCAA están en continua revisión y ciertas oscilaciones diarias pueden deberse a procesos de depuración de datos y no a variaciones reales acontecidas de un;;;;;;;
