Unnamed: 0;Total;Nuevos;PCR;Test rápidos de anticuerpos;(14 d.)
Andalucía;11.052999999999999;246.0;10672.0;381;43,72
Aragón;4.664;98.0;4489.0;175;134,54
Asturias;2.23;60.0;2124.0;54*;77,92
Baleares;1.6680000000000001;31.0;;;35,76
Canarias;2.009;21.0;2009.0;;24,10
Cantabria;1.8840000000000001;39.0;;;96,89
Castilla La Mancha;15.997;846.0;;;367,66
Castilla y León;14.902999999999999;523.0;;;292,89
Cataluña**;38.316;962.0;;;193,56
Ceuta;101.0;1.0;98.0;3;46,00
C. Valenciana;9.869;254.0;9486.0;297*;64,85
Extremadura;3.0189999999999997;138.0;2656.0;363;105,46
Galicia;8.013;140.0;;;103,50
Madrid;51.993;1.2990000000000002;;;267,21
Melilla;104.0;1.0;;;39,31
Murcia;1.625;27.0;1423.0;202;32,13
Navarra;4.433;85.0;;;244,11
País Vasco;12.089;299.0;;;193,04
La Rioja;4.098;182.0;3547.0;551;591,54
ESPAÑA;188.06799999999998;5.252000000000001;;;149,61
