Unnamed: 0;Confirmados COVID-19;Confirmados COVID-19.1;IA confirmados;Positivos por test;Total
CCAA;;;;;
;Total Nuevos;PCR Test de anticuerpos;COVID-19 (14 d.);de  anticuerpos*;Positivos
Andalucía;11.020 107;10.772 248;43,72;184;11.204
Aragón;4.761 97;4.551 210;134,54;;4.761
Asturias;2.272 42;2.153 119;77,92;;2.272
Baleares;1.748 80;1.724 24;35,76;;1.748
Canarias;2.035 26;2.035;24,10;;2.035
Cantabria;1.990 106;;96,89;;1.990
Castilla La Mancha;16.349 352;;367,66;;16.349
Castilla y León;15.293 390;;292,89;;15.293
Cataluña**;39.943 1.627;152;193,56;;39.943
Ceuta;108 7;101 7;46,00;4;112
C. Valenciana;9.795 76;9.584 211;64,85;322;10.117
Extremadura;3.081 62;2.663 418;105,46;50;3.131
Galicia;8.084 71;8.084;103,50;;8.084
Madrid;52.946 953;52.946;267,21;;52.946
Melilla;104 0;104;39,31;;104
Murcia;1.638 13;1.430 208;32,13;9;1.647
Navarra;4.556 123;4.349 207;244,11;23;4.579
País Vasco;12.355 266;;193,04;;12.355
La Rioja;3.648 101;3.583 65;591,54;602;4.250
ESPAÑA;191.726 4.499;;149,61;1.194;192.920
