Unnamed: 0;Confirmados COVID-19;Confirmados COVID-19.1;IA confirmados;A sintomáticos con test de;Unnamed: 1;Total
CCAA;;;;;;
;Total Nuevos;PCR Test de anticuerpos;COVID-19 (14 d.);;anticuerpos positivo*;Positivos
Andalucía;11.205 185;10.936 269;34,51;;220;11.425
Aragón;4.831 70;4.608 223;121,20;;;4.831
Asturias;2.298 26;2.172 126;67,76;;;2.298
Baleares;1.773 25;1.740 33;41,76;;;1.773
Canarias;2.047 12;2.047;19,74;;;2.047
Cantabria;2.050 60;1.949 101;104,81;;;2.050
Castilla La Mancha;16.625 276;14.588 2.037;324,37;;;16.625
Castilla y León;15.621 328;14.644 977;286,39;;;15.621
Cataluña;40.600 657;40.448 152;189,81;;;40.600
Ceuta;109 1;101 8;30,67;;4;113
C. Valenciana;9.937 142;9.657 280;55,02;;313;10.250
Extremadura;3.136 55;2.673 463;101,99;;56;3.192
Galicia;8.185 101;8.185;83,02;;;8.185
Madrid;54.884 1.938;53.670 1.214;259,63;;1.261;56.145
Melilla;104 0;104;24,28;;3;107
Murcia;1.644 6;1.438 206;27,38;;9;1.653
Navarra;4.621 65;4.413 208;236,62;;35;4.656
País Vasco;12.569 214;11.570 999;178,51;;;12.569
La Rioja;3.705 57;3.636 69;351,33;;625;4.330
ESPAÑA;195.944 4.218;188.579 7.365;138,61;;2.526;198.470
