Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos;Unnamed: 1;Curados
CCAA;;;;;
;Total Nuevos;Total Nuevos;Total Nuevos;Total;Nuevos
Andalucía;5.424 83;687 10;993 26;3.116;168
Aragón**;2.216 36;246 3;619 18;1.175;54
Asturias;1.571 51;120 1;196 9;596;21
Baleares;955 18;160 3;155 7;993;35
Canarias;825 3;162 2;119 4;789;4
Cantabria;924 13;78 0;153 4;610;76
Castilla La Mancha;8.137 44;518 4;1.963 50;3.963;125
Castilla y León;6.981 150;498 3;1.458 29;5.262;159
Cataluña;22.235 222;2.395 46;3.933 54;13.691;416
Ceuta;9 0;4 0;4 0;59;6
C. Valenciana;4.781 73;643 7;1.065 23;4.547;241
Extremadura;1.278 38;112 0;384 4;767;31
Galicia;2.590 36;112 0;346 12;**;**
Madrid;8.291 0;1.123 0;7.239 107;31.313;838
Melilla;44 0;3 0;2 0;44;14
Murcia;612 1;102 0;116 1;652;14
Navarra;1.843 14;127 0;369 15;992;38
País Vasco;6.086 56;499 9;1.062 42;6.972;416
La Rioja;1.268 19;79 1;277 5;1.816;39
ESPAÑA;;;20.453 410;77.357;2695
