Unnamed: 0;Confirmados COVID-19 Confirmados COVID-19;Unnamed: 1;Anticuerpos positivos sin;Unnamed: 2;Unnamed: 3
;;IA confirmados;;Total;
CCAA;PCR Test de;;síntomas en el momento;;
;Total Nuevos;COVID-19 (14 d.);;Positivos;
;anticuerpos;;de diagnóstico*;;
Andalucía;11.323 118 11.030 293;32,59;232;11.555
Aragón;4.886 55 4.654 232;116,65;;4.886
Asturias;2.348 50 2.181 167;68,64;;2.348
Baleares;1.788 15 1.749 39;40,71;;1.788
Canarias;2.067 20 2.067 0;19,41;;2.067;reales acontecidas de un día a otro.
Cantabria;2.083 33 1.973 110;103,26;;2.083;
Castilla La Mancha;16.796 171 14.725 2.071;304,69;;16.796;*Se han notificado personas con
Castilla y León;15.857 236 14.781 1.076;280,93;;15.857;anticuerpos positivos  sin síntomas en el
Cataluña;41.676 1.076 41.676 0;193,51;;41.676;momento de realización de la prueba en
Ceuta;111 2 101 10;33,03;4;115;los que no se puede establecer
;;;;;momento de contagio ni si han padecido
C. Valenciana;10.018 81 9.708 310;53,64;321;10.339;
;;;;;o no la enfermedad. Para el cálculo de
Extremadura;3.186 50 2.692 494;104,71;57;3.243;nuevos casos de COVID-19 se han
Galicia;8.299 114 8.299 0;79,57;;8.299;corregido los datos de días previos
Madrid**;694 56.963 54.300 2.663;252,95;;56.963;
;+1.385;;;;
Melilla;104 0 104 0;20,81;5;109;** Casos que iniciaron síntomas más de
Murcia;1.646 2 1.440 206;25,91;13;1.659;14 días antes de la realización de la
Navarra;4.697 76 4.449 248;224,09;38;4.735;prueba diagnóstica y que no
País Vasco;12.628 59 11.571 1.057;172,93;;12.628;
La Rioja;3.734 29 3.664 70;320,39;637;4.371;
;2.881;;;;
ESPAÑA;200.210 191.164 9.046;135,65;1.307;201.517;
;+1.385**;;;;
