Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos;Curados
CCAA;;;;
;Total Nuevos;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;5.473 49;690 3;1.013 20;3.229 113
Aragón**;2.244 28;248 2;637 18;1.178 3
Asturias;1.599 28;122 2;200 4;599 3
Baleares;963 8;161 1;157 2;1.005 12
Canarias;826 1;163 1;119 0;813 24
Cantabria;934 10;78 0;158 5;626 16
Castilla La Mancha;8.173 36;531 13;2.021 58;4.178 215
Castilla y León;7.080 99;501 3;1.493 35;5.366 104
Cataluña;22.375 140;2.409 14;4.009 76;13.934 243
Ceuta;9 0;4 0;4 0;74 15
C. Valenciana;4.827 46;646 3;1.079 14;4.629 82
Extremadura;1.306 28;112 0;389 5;858 91
Galicia;2.609 19;108 0;352 6;1.548** 12
Madrid;8.191 0;1.111 0;7.351 112;31.762 449
Melilla;44 0;3 0;2 0;46 2
Murcia;612 0;103 1;117 1;662 10
Navarra;1.856 13;128 1;385 16;1.123 131
País Vasco;6.109 23;501 2;1.081 19;7.124 152
La Rioja;1.282 14;79 0;285 8;1.833 17
ESPAÑA;;;20.852 399;80.587 1.694
