Unnamed: 0;Confirmados COVID-19;Confirmados COVID-19.1;Unnamed: 1;Anticuerpos positivos sin;Unnamed: 2;Unnamed: 3
;;;IA confirmados;;Total;
CCAA;;PCR Test de;;síntomas en el momento;;
;Total Nuevos;;COVID-19 (14 d.);;Positivos;
;;anticuerpos;;de diagnóstico*;;
Andalucía;11.610 163;11.270 340;31,05;311;11.921;Los datos de las CCAA están en continua
Aragón;5.054 116;4.761 293;114,08;;5.054;revisión y ciertas oscilaciones diarias
Asturias;2.419 54;2.218 201;69,81;;2.419;pueden deberse a procesos de depuración
Baleares;1.836 28;1.788 48;36,89;;1.836;de datos y no a variaciones reales
Canarias;2.094 9;2.094 0;15,42;;2.094;acontecidas de un día a otro.
Cantabria;2.160 37;2.012 148;101,19;;2.160;
Castilla La Mancha;17.321 276;15.053 2.268;272,18;;17.321;*Se han notificado personas con
Castilla y León;16.839 580;15.141 1.698;282,59;;16.839;anticuerpos positivos  sin síntomas en el
Cataluña**;43.802 690;43.802 0;184,42;;43.802;momento de realización de la prueba en
Ceuta;118 7;100 18;40,11;6;124;los que no se puede establecer un
;;;;;;momento de contagio ni si han padecido o
C. Valenciana;10.538 454;9.825 713;57,62;33;10.571;
;;;;;;no la enfermedad. Para el cálculo de
Extremadura;3.230 34;2.692 465;97,97;86;3.316;
;;;;;;nuevos casos de COVID-19 se han
Galicia;8.634 166;0 0;77,64;;8.634;corregido los datos de días previos
Madrid;59.199 1.202;56.245 2.954;251,36;;59.199;separando estos casos.
Melilla;105 0;105 0;13,87;6;111;
Murcia;1.695 14;1.455 240;24,70;22;1.717;** Cataluña además ha notificado 1.027
Navarra;4.899 118;4.531 368;218,89;59;4.958;test positivos en personas en las que se
País Vasco;13.044 234;11.712 1.332;162,70;;13.044;está determinando si presentaban o no
La Rioja;3.792 29;3.704 88;265,47;794;4.586;síntomas en el momento de diagnóstico.
;;;;;;
ESPAÑA;208.389 4.211;188.508 11.174;131,20;1.317;209.706;
