Unnamed: 0;Casos que han precisado hospitalización Casos que han ingresado en UCI;Unnamed: 1;Fallecidos;Curados
CCAA;;;;
;Total Nuevos Total;Nuevos;Total Nuevos;Total Nuevos
Andalucía;5.565 56 696;4;1.050 33;3.569 158
Aragón;2.304 33 252;2;656 13;1.530 348
Asturias;1.665 39 128;6;211 9;642 26
Baleares;1.005 19 166;5;164 3;1.017 12
Canarias;841 4 164;0;121 1;927 49
Cantabria;956 8 78;0;167 2;718 72
Castilla La Mancha;8.243 44 537;3;2.140 65;4.337 95
Castilla y León;7.264 90 505;2;1.554 33;5.614 185
Cataluña;23.295 499 2.460;23;4.247 95;15.089 643
Ceuta;9 0 4;0;4 0;76 3
C. Valenciana;4.896 30 649;1;1.106 17;5.011 292
Extremadura;1.349 22 112;0;404 7;1.051 130
Galicia;2.674 22 96;0;368 8;1.625 37
Madrid;7.464 0 1.024;0;7.577 117;33.032 755
Melilla;44 0 3;0;2 0;50 4
Murcia;622 8 104;0;123 3;761 59
Navarra;1.894 17 128;0;401 4;1.316 126
País Vasco;6.201 60 513;6;1.124 21;7.651 374
La Rioja;1.318 21 81;0;298 4;1.899 33
ESPAÑA;;;21.717 435;85.915 3401
