Unnamed: 0;Confirmados COVID-19;Confirmados COVID-19.1;Unnamed: 1;Anticuerpos positivos sin;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
;;;IA confirmados;;;;;;;;;
CCAA;;PCR Test de;;síntomas en el momento;Positivos;;;;;;;
;Total Nuevos;;COVID-19 (14 d.);;;;;;;;;
;;anticuerpos;;de diagnóstico*;;;;;;;;
Andalucía;11.845 235;11.403 442;30,71;392;12.237;Los datos;de;las;CCAA;están;en;continua
Aragón;5.237 183;4.833 404;117,64;0;5.237;revisión y ciertas oscilaciones diarias pueden;;;;;;
Asturias;2.453 34;2.229 224;70,00;0;2.453;deberse a procesos de depuración de datos y;;;;;;
Baleares;1.861 25;1.807 54;35,93;0;1.861;no a variaciones reales acontecidas de;;;;;;un
Canarias;2.113 19;2.113 0;12,96;0;2.113;día a otro.;;;;;;
Cantabria;2.206 46;2.023 183;101,02;0;2.206;;;;;;;
Castilla La Mancha;17.557 236;15.128 2.429;249,30;0;17.557;*Se han;notificado;;;personas;;con
;;;;;;anticuerpos;positivos;;sin;síntomas;;en el
Castilla y León;17.402 563;15.510 1.892;286,89;0;17.402;;;;;;;
;;;;;;momento de realización de la prueba en los;;;;;;
Cataluña;44.892 1.090;44.892 0;180,44;0;44.892;;;;;;;
;;;;;;que no se puede establecer un momento de;;;;;;
Ceuta;118 0;100 18;40,11;6;124;contagio;ni;si han;padecido;;o;no la
C. Valenciana;10.692 154;9.869 823;54,52;43;10.735;enfermedad. Para el cálculo de nuevos casos;;;;;;
Extremadura;3.260 30;2.715 545;92,44;106;3.366;de COVID-19 se han corregido los datos de;;;;;;
Galicia;8.805 171;0 0;75,83;0;8.805;días previos separando estos casos.;;;;;;
Madrid;60.487 1.288;57.094 3.393;249,27;0;60.487;;;;;;;
Melilla;106 1;106 0;15,03;7;113;** Cataluña además ha notificado 1.027 test;;;;;;
Murcia;1.721 26;1.460 261;24,43;0;1.721;positivos en;personas;;en;las;que;se está
;;;;;;determinando si presentaban o no síntomas;;;;;;
Navarra;4.994 95;4.577 417;216,90;69;5.063;;;;;;;
;;;;;;en el momento de diagnóstico.;;;;;;
País Vasco;13.436 392;11.789 1.647;164,42;0;13.436;;;;;;;
;;;;;;;;;;;;
La Rioja;3.839 47;3.741 98;256,63;888;4.727;;;;;;;
ESPAÑA;213.024 4.635;191.389 12.830;128,82;1.511;214.535;;;;;;;
