Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Incremento;Unnamed: 4
;CCAA;Total;Nuevos;IA (14 d.)
;;confirmados;
Andalucía;11.536;133;1,2;24,08
Aragón;4.867;34;0,7;78,53
Asturias;2.234;5;0,2;42,53
Baleares;1.821;14;0,8;28,97
Canarias;2.140;27;1,3;13,10
Cantabria;2.084;61;3,0;73,14
Castilla La Mancha;15.365;237;1,6;113,24
Castilla y León;15.692;182;1,2;191,29
Cataluña;45.544;652;1,5;178,76
Ceuta;100;0;0,0;10,62
C. Valenciana;9.939;70;0,7;32,14
Extremadura;2.718;3;0,1;36,15
Galicia*;8.932;127;1,4;73,57
Madrid;58.191;1.097;1,9;201,22
Melilla;107;1;0,9;13,87
Murcia;1.468;8;0,5;5,69
Navarra;4.581;4;0,1;127,33
País Vasco;11.881;92;0,8;80,53
La Rioja;3.790;49;1,3;225,38
ESPAÑA;202.990;2.796;1,4;97,75
