Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Incremento;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
;CCAA;Total;Nuevos;IA (14 d.);;;;;
;;;;confirmados;;;;;
Andalucía;;11.703;167;1,4 23,66;;;;;
Aragón;;4.922;55;1,1 72,24;;;;;
;;;;;;PCR;Test de anticuerpos; Incremento diario;
Asturias;;2.238;4;0,2 40,18;1 0000;;;;100.0
Baleares;;1.847;26;1,4 29,58;;;;;
;;;;;9000;;;;90.0
Canarias;;2.155;15;0,7 12,45;;;;;
Cantabria;;2.071;16;0,8 60,58;8000;;;;80.0
Castilla La Mancha;;15.509;144;0,9 100,99;7000;;;;70.0
Castilla y León;;15.990;298;1,9 185,33;6000;;;;60.0
Cataluña;;46.261;717;1,6 172,99;;;;;
;;;;;5000;;;;50.0
Ceuta;;100;0;0,0 8,26;;;;;
C. Valenciana;;10.066;127;1,3 29,74;4000;;;;
Extremadura;;2.718;0;0,0 21,73;3000;;;;30.0
Galicia*;;9.116;184;2,1 71,87;2000;;;;20.0
Madrid;;58.819;628;1,1 194,65;1000;;;;10.0
Melilla;;108;1;0,9 11,56;;;;;
;;;;;0;;;;0.0
Murcia;;1.468;0;0,0 3,68;;;;;
Navarra;;4.627;46;1,0 123,81;;;;;
País Vasco;;12.366;485;4,1 83,84;;;;;
La Rioja;;3821;31;0,8 188,76;;;;;
ESPAÑA;;205.905;2.944;1,5 93,68;;;;;
