Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.038 11;742 0;1.301 7
Aragón;2.578 14;263 1;815 15
Asturias;2.141 24;144 1;292 0
Baleares;1.135 3;168 0;202 1
Canarias;927 6;176 0;148 4
Cantabria;1.022 2;79 0;201 1
Castilla La Mancha;8.828 32;617 4;2.713 36
Castilla y León;8.357 57;543 2;1.876 12
Cataluña;28.608 360;2.949 58;5.471 77
Ceuta;11 1;4 0;4 0
C. Valenciana;5.287 35;706 2;1.309 6
Extremadura;1.678 14;109 1;472 5
Galicia;2.857 24;321 1;588 2
Madrid;41.304 145;3.493 8;8.552 48
Melilla;44 0;3 0;2 0
Murcia;659 7;113 2;137 0
Navarra;2.015 0;135 0;484 4
País Vasco;6.818 21;566 5;1.390 7
La Rioja;1.469 6;91 0;342 4
ESPAÑA;121.776 762;11.222 85;26.299 229
