"Date","Country","Region","Total confirmed cases","Total Hospital cases","Total ICU cases","Total deaths"
"2020-02-20","Spain","Andalucía",0,0,0,0
"2020-02-20","Spain","Aragón",0,0,0,0
"2020-02-20","Spain","Asturias",0,0,0,0
"2020-02-20","Spain","Baleares",1,0,0,0
"2020-02-20","Spain","Canarias",1,0,0,0
"2020-02-20","Spain","Cantabria",0,0,0,0
"2020-02-20","Spain","Castilla La Mancha",0,0,0,0
"2020-02-20","Spain","Castilla y León",0,0,0,0
"2020-02-20","Spain","Cataluña",0,0,0,0
"2020-02-20","Spain","Ceuta",0,0,0,0
"2020-02-20","Spain","Comunidad Valenciana",0,0,0,0
"2020-02-20","Spain","Extremadura",0,0,0,0
"2020-02-20","Spain","Galicia",0,0,0,0
"2020-02-20","Spain","Madrid",0,0,0,0
"2020-02-20","Spain","Melilla",0,0,0,0
"2020-02-20","Spain","Murcia",0,0,0,0
"2020-02-20","Spain","Navarra",0,0,0,0
"2020-02-20","Spain","País Vasco",0,0,0,0
"2020-02-20","Spain","La Rioja",0,0,0,0
"2020-02-21","Spain","Andalucía",0,0,0,0
"2020-02-21","Spain","Aragón",0,0,0,0
"2020-02-21","Spain","Asturias",0,0,0,0
"2020-02-21","Spain","Baleares",1,0,0,0
"2020-02-21","Spain","Canarias",1,0,0,0
"2020-02-21","Spain","Cantabria",0,0,0,0
"2020-02-21","Spain","Castilla La Mancha",0,0,0,0
"2020-02-21","Spain","Castilla y León",0,0,0,0
"2020-02-21","Spain","Cataluña",0,0,0,0
"2020-02-21","Spain","Ceuta",0,0,0,0
"2020-02-21","Spain","Comunidad Valenciana",0,0,0,0
"2020-02-21","Spain","Extremadura",0,0,0,0
"2020-02-21","Spain","Galicia",0,0,0,0
"2020-02-21","Spain","Madrid",0,0,0,0
"2020-02-21","Spain","Melilla",0,0,0,0
"2020-02-21","Spain","Murcia",0,0,0,0
"2020-02-21","Spain","Navarra",0,0,0,0
"2020-02-21","Spain","País Vasco",0,0,0,0
"2020-02-21","Spain","La Rioja",0,0,0,0
"2020-02-22","Spain","Andalucía",0,0,0,0
"2020-02-22","Spain","Aragón",0,0,0,0
"2020-02-22","Spain","Asturias",0,0,0,0
"2020-02-22","Spain","Baleares",1,0,0,0
"2020-02-22","Spain","Canarias",1,0,0,0
"2020-02-22","Spain","Cantabria",0,0,0,0
"2020-02-22","Spain","Castilla La Mancha",0,0,0,0
"2020-02-22","Spain","Castilla y León",0,0,0,0
"2020-02-22","Spain","Cataluña",0,0,0,0
"2020-02-22","Spain","Ceuta",0,0,0,0
"2020-02-22","Spain","Comunidad Valenciana",0,0,0,0
"2020-02-22","Spain","Extremadura",0,0,0,0
"2020-02-22","Spain","Galicia",0,0,0,0
"2020-02-22","Spain","Madrid",0,0,0,0
"2020-02-22","Spain","Melilla",0,0,0,0
"2020-02-22","Spain","Murcia",0,0,0,0
"2020-02-22","Spain","Navarra",0,0,0,0
"2020-02-22","Spain","País Vasco",0,0,0,0
"2020-02-22","Spain","La Rioja",0,0,0,0
"2020-02-23","Spain","Andalucía",0,0,0,0
"2020-02-23","Spain","Aragón",0,0,0,0
"2020-02-23","Spain","Asturias",0,0,0,0
"2020-02-23","Spain","Baleares",1,0,0,0
"2020-02-23","Spain","Canarias",1,0,0,0
"2020-02-23","Spain","Cantabria",0,0,0,0
"2020-02-23","Spain","Castilla La Mancha",0,0,0,0
"2020-02-23","Spain","Castilla y León",0,0,0,0
"2020-02-23","Spain","Cataluña",0,0,0,0
"2020-02-23","Spain","Ceuta",0,0,0,0
"2020-02-23","Spain","Comunidad Valenciana",0,0,0,0
"2020-02-23","Spain","Extremadura",0,0,0,0
"2020-02-23","Spain","Galicia",0,0,0,0
"2020-02-23","Spain","Madrid",0,0,0,0
"2020-02-23","Spain","Melilla",0,0,0,0
"2020-02-23","Spain","Murcia",0,0,0,0
"2020-02-23","Spain","Navarra",0,0,0,0
"2020-02-23","Spain","País Vasco",0,0,0,0
"2020-02-23","Spain","La Rioja",0,0,0,0
"2020-02-24","Spain","Andalucía",0,0,0,0
"2020-02-24","Spain","Aragón",0,0,0,0
"2020-02-24","Spain","Asturias",0,0,0,0
"2020-02-24","Spain","Baleares",1,0,0,0
"2020-02-24","Spain","Canarias",2,0,0,0
"2020-02-24","Spain","Cantabria",0,0,0,0
"2020-02-24","Spain","Castilla La Mancha",0,0,0,0
"2020-02-24","Spain","Castilla y León",0,0,0,0
"2020-02-24","Spain","Cataluña",0,0,0,0
"2020-02-24","Spain","Ceuta",0,0,0,0
"2020-02-24","Spain","Comunidad Valenciana",0,0,0,0
"2020-02-24","Spain","Extremadura",0,0,0,0
"2020-02-24","Spain","Galicia",0,0,0,0
"2020-02-24","Spain","Madrid",0,0,0,0
"2020-02-24","Spain","Melilla",0,0,0,0
"2020-02-24","Spain","Murcia",0,0,0,0
"2020-02-24","Spain","Navarra",0,0,0,0
"2020-02-24","Spain","País Vasco",0,0,0,0
"2020-02-24","Spain","La Rioja",0,0,0,0
"2020-02-25","Spain","Andalucía",0,0,0,0
"2020-02-25","Spain","Aragón",0,0,0,0
"2020-02-25","Spain","Asturias",0,0,0,0
"2020-02-25","Spain","Baleares",1,0,0,0
"2020-02-25","Spain","Canarias",5,0,0,0
"2020-02-25","Spain","Cantabria",0,0,0,0
"2020-02-25","Spain","Castilla La Mancha",0,0,0,0
"2020-02-25","Spain","Castilla y León",0,0,0,0
"2020-02-25","Spain","Cataluña",1,0,0,0
"2020-02-25","Spain","Ceuta",0,0,0,0
"2020-02-25","Spain","Comunidad Valenciana",1,0,0,0
"2020-02-25","Spain","Extremadura",0,0,0,0
"2020-02-25","Spain","Galicia",0,0,0,0
"2020-02-25","Spain","Madrid",2,0,0,0
"2020-02-25","Spain","Melilla",0,0,0,0
"2020-02-25","Spain","Murcia",0,0,0,0
"2020-02-25","Spain","Navarra",0,0,0,0
"2020-02-25","Spain","País Vasco",0,0,0,0
