"Year","Country","Region","Hospital Name","Province","ID Type of Hospital","Description Type of Hospital","Type of beds","Total Hospital beds standard","Total Private Hospital beds","Total Daycare Hospital beds","Total Surgery Hospital beds","Total Hospital beds"
2010,"Italy","Piemonte","Ospedale Martini","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",202,0,21,1,224
2010,"Italy","Piemonte","Ospedale Oftalmico","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",39,0,4,20,63
2010,"Italy","Piemonte","Ospedale Evangelico Valdese","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",51,0,20,36,107
2010,"Italy","Piemonte","Ospedale Evangelico Valdese","Torino",1.0,"Ospedale A Gestione Diretta","Riabilitazione",0,0,1,0,1
2010,"Italy","Piemonte","Casa Di Cura Koelliker Ospedalino","Torino",5.1,"Casa Di Cura Privata Accreditata","Acuti",84,0,0,21,105
2010,"Italy","Piemonte","Casa Di Cura Koelliker Ospedalino","Torino",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",30,0,0,0,30
2010,"Italy","Piemonte","Promea S.P.A.","Torino",5.1,"Casa Di Cura Privata Accreditata","Acuti",0,0,0,7,7
2010,"Italy","Piemonte","Casa Di Cura Cellini","Torino",5.1,"Casa Di Cura Privata Accreditata","Acuti",79,0,0,17,96
2010,"Italy","Piemonte","Presidio Sanitario San Camillo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",92,0,25,0,117
2010,"Italy","Piemonte","Ospedale Maria Vittoria","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",283,0,14,34,331
2010,"Italy","Piemonte","Ospedale Maria Vittoria","Torino",1.0,"Ospedale A Gestione Diretta","Riabilitazione",0,0,3,0,3
2010,"Italy","Piemonte","Torino Nord Emergenza San Giovanni Bosco","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",332,0,23,13,368
2010,"Italy","Piemonte","Ospedale Amedeo Di Savoia","Torino",1.0,"Ospedale A Gestione Diretta","Acuti",71,0,24,0,95
2010,"Italy","Piemonte","Villa Maria Pia Hospital","Torino",5.1,"Casa Di Cura Privata Accreditata","Acuti",101,0,2,12,115
2010,"Italy","Piemonte","Villa Maria Pia Hospital","Torino",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",20,0,0,0,20
2010,"Italy","Piemonte","Spa Villa Cristina","Torino",5.1,"Casa Di Cura Privata Accreditata","Acuti",151,0,0,0,151
2010,"Italy","Piemonte","Presidio Sanitario Ausiliatrice - Fondaz","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",25,0,25,0,50
