"Date","Region","Total confirmed cases","Population Incidence Ratio","Total deaths",4
"2020-03-29","Bavaria",12881,1.731,99,107
"2020-03-29","Berlin",2360,199.0,63,9
"2020-03-29","Brandenburg",721,76.0,29,1
"2020-03-29","Bremen",275,15.0,40,2
"2020-03-29","Hamburg",1846,81.0,100,4
"2020-03-29","Hesse",2605,1.0,42,9
"2020-03-29","Mecklenburg-Western Pomerania",348,40.0,22,1
"2020-03-29","Lower Saxony",3450,300.0,43,21
"2020-03-29","North Rhine-Westphalia",11400,793.0,64,98
"2020-03-29","Rhineland-Palatinate",2396,184.0,59,12
"2020-03-29","Saarland",560,10.0,57,2
"2020-03-29","Saxony",1617,185.0,40,9
"2020-03-29","Saxony-Anhalt",592,134.0,27,2
"2020-03-29","Schleswig-Holstein",1005,90.0,35,6
"2020-03-29","Thuringia",697,113.0,33,5
