"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-26","Baden-Württemberg",30761,592,278.0,1
"2020-04-26","Bavaria",40912,365,313.0,1
"2020-04-26","Berlin",5600,75,149.0,123
"2020-04-26","Brandenburg",2694,67,107.0,100
"2020-04-26","Bremen",739,20,108.0,27
"2020-04-26","Hamburg",4428,29,241.0,140
"2020-04-26","Hesse",7946,109,127.0,315
"2020-04-26","Mecklenburg-Western Pomerania",673,6,42.0,16
"2020-04-26","Lower Saxony",9785,94,123.0,384
"2020-04-26","North Rhine-Westphalia",31669,204,177.0,1
"2020-04-26","Rhineland-Palatinate",5835,68,143.0,147
"2020-04-26","Saarland",2481,14,251.0,107
"2020-04-26","Saxony",4428,22,109.0,147
"2020-04-26","Saxony-Anhalt",1494,14,68.0,36
"2020-04-26","Schleswig-Holstein",2630,18,91.0,96
"2020-04-26","Thuringia",2098,40,98.0,73
