"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-06","Baden-Württemberg",32576,94,294.0,1,13.4
"2020-05-06","Bavaria",43371,209,332.0,2,15.3
"2020-05-06","Berlin",6092,50,163.0,159,4.2
"2020-05-06","Brandenburg",2969,29,118.0,127,5.1
"2020-05-06","Bremen",916,21,134.0,31,4.5
"2020-05-06","Hamburg",4664,20,253.0,190,10.3
"2020-05-06","Hesse",8642,57,138.0,386,6.2
"2020-05-06","Mecklenburg-Western Pomerania",711,8,44.0,19,1.2
"2020-05-06","Lower Saxony",10453,73,131.0,470,5.9
"2020-05-06","North Rhine-Westphalia",33977,249,189.0,1,7.6
"2020-05-06","Rhineland-Palatinate",6191,31,152.0,187,4.6
"2020-05-06","Saarland",2627,9,265.0,141,14.2
"2020-05-06","Saxony",4784,39,117.0,177,4.3
"2020-05-06","Saxony-Anhalt",1590,5,72.0,46,2.1
"2020-05-06","Schleswig-Holstein",2815,16,97.0,119,4.1
"2020-05-06","Thuringia",2429,37,113.0,104,4.9
