"Baden-Württemberg" 34.000 50;307;1.652;14.9
"Bavaria" 45.507 80;348;2.287;17.5
"Berlin" 6.458 11;172;180;4.8
"Brandenburg" 3.172 1;126;149;5.9
"Bremen" 1.171 7;171;38;5.6
"Hamburg" 5.037 8;274;232;12.6
"Hesse" 9.337 20;149;439;7.0
"Mecklenburg-Western Pomerania"Pomerania;;;
"Lower Saxony" 11.167 12;140;545;6.8
"North Rhine-Westphalia" 36.365 79;203;1.512;8.4
"Rhineland-Palatinate" 6.490 41;159;217;5.3
"Saarland" 2.696 0;272;149;15.0
"Saxony" 5.125 10;126;196;4.8
"Saxony-Anhalt" 1.678 2;76;54;2.4
"Schleswig-Holstein" 3.002 2;104;126;4.3
"Thuringia" 2.740 15;128;139;6.5
