"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5,6,7
"2020-05-20","Bavaria",45766,127,350.0,823,6.3,2.339,18
"2020-05-20","Berlin",6507,29,174.0,182,4.9,186.0,5
"2020-05-20","Brandenburg",3193,8,127.0,44,1.8,151.0,6
"2020-05-20","Bremen",1256,19,184.0,132,19.3,38.0,6
"2020-05-20","Hamburg",5042,0,274.0,41,2.2,236.0,13
"2020-05-20","Hesse",9482,115,151.0,368,5.9,446.0,7
"2020-05-20","Lower Saxony",11288,81,141.0,269,3.4,557.0,7
"2020-05-20","Saarland",2703,4,273.0,31,3.1,154.0,16
"2020-05-20","Saxony",5150,17,126.0,132,3.2,198.0,5
"2020-05-20","Saxony-Anhalt",1680,1,76.0,25,1.1,54.0,2
"2020-05-20","Schleswig-Holstein",3014,12,104.0,39,1.3,131.0,5
"2020-05-20","Thuringia",2760,10,129.0,107,5.0,149.0,7
