"Date","Country","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-17","Germany","Baden-Württemberg",1479,417.0,13.4,2
"2020-03-17","Germany","Bavaria",1109,144.0,8.5,4
"2020-03-17","Germany","Berlin",345,45.0,9.2,0
"2020-03-17","Germany","Brandenburg",73,8.0,2.9,0
"2020-03-17","Germany","Bremen",57,1.0,8.3,0
"2020-03-17","Germany","Hamburg",310,55.0,16.8,0
"2020-03-17","Germany","Hesse",373,132.0,6.0,0
"2020-03-17","Germany","Mecklenburg-Western Pomerania",45,9.0,2.8,0
"2020-03-17","Germany","Lower Saxony",325,53.0,4.1,0
"2020-03-17","Germany","North Rhine-Westphalia",2105,564.0,11.7,6
"2020-03-17","Germany","Rhineland-Palatinate",442,117.0,10.8,0
"2020-03-17","Germany","Saarland",75,43.0,7.6,0
"2020-03-17","Germany","Saxony",182,79.0,4.5,0
"2020-03-17","Germany","Saxony-Anhalt",58,18.0,2.6,0
"2020-03-17","Germany","Schleswig-Holstein",127,23.0,4.4,0
"2020-03-17","Germany","Thuringia",51,15.0,2.4,0
"2020-03-18","Germany","Baden-Württemberg",1609,130.0,14.5,2
"2020-03-18","Germany","Bavaria",1243,134.0,9.5,4
"2020-03-18","Germany","Berlin",391,46.0,10.4,0
"2020-03-18","Germany","Brandenburg",92,19.0,3.7,0
"2020-03-18","Germany","Bremen",69,12.0,10.1,0
"2020-03-18","Germany","Hamburg",358,48.0,19.4,0
"2020-03-18","Germany","Hesse",432,59.0,6.9,0
"2020-03-18","Germany","Mecklenburg-Western Pomerania",56,11.0,3.5,0
"2020-03-18","Germany","Lower Saxony",478,153.0,6.0,0
"2020-03-18","Germany","North Rhine-Westphalia",2372,267.0,13.2,6
"2020-03-18","Germany","Rhineland-Palatinate",474,32.0,11.6,0
"2020-03-18","Germany","Saarland",88,13.0,8.9,0
"2020-03-18","Germany","Saxony",198,16.0,4.9,0
"2020-03-18","Germany","Saxony-Anhalt",105,47.0,4.8,0
"2020-03-18","Germany","Schleswig-Holstein",159,32.0,5.5,0
"2020-03-18","Germany","Thuringia",74,23.0,3.5,0
"2020-03-19","Germany","Baden-Württemberg",2155,546.0,19.47,6
