Andalucía;;12.401;42;0,34;4,04
Aragón;;5.432;43;0,80;23,95
Asturias;;2.359;3;0,13;4,69
Baleares;;1.967;9;0,46;6,35
Canarias;;2.280;5;0,22;3,44
Cantabria;;2.263;7;0,31;13,60
Castilla La Mancha;;16.513;43;0,26;29,66
Castilla y León;;18.272;99;0,54;53,30
Cataluña;;55.464;151;0,27;44,85
Ceuta;;116;0;0,00;17,69
C. Valenciana;;10.813;29;0,27;9,31
Extremadura;;2.933;10;0,34;11,43
Galicia;;9.323;6;0,06;17,60
Madrid;;66.005;49;0,07;38,18
Melilla;;119;0;0,00;4,62
Murcia;;1.534;2;0,13;3,08
Navarra;;5.116;11;0,22;40,97
País Vasco;;13.257;38;0,29;19,61
La Rioja;;4.016;2;0,05;25,25
