"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-15 21:00:00","Andalucía",6161,15,758,4,1355,11
"2020-05-15 21:00:00","Aragón",2648,11,266,0,838,1
"2020-05-15 21:00:00","Asturias",2290,22,152,0,313,3
"2020-05-15 21:00:00","Baleares",1134,0,169,0,216,0
"2020-05-15 21:00:00","Canarias",939,1,178,0,151,0
"2020-05-15 21:00:00","Cantabria",1032,1,79,0,206,0
"2020-05-15 21:00:00","Castilla La Mancha",9027,26,636,1,2883,13
"2020-05-15 21:00:00","Castilla y León",8649,54,549,1,1940,10
"2020-05-15 21:00:00","Cataluña",29339,0,3049,0,5915,33
"2020-05-15 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-15 21:00:00","Comunidad Valenciana",5435,20,722,1,1365,7
"2020-05-15 21:00:00","Extremadura",1771,0,109,0,497,3
"2020-05-15 21:00:00","Galicia",2590,3,295,0,604,1
"2020-05-15 21:00:00","Madrid",42157,100,3577,3,8826,17
"2020-05-15 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-15 21:00:00","Murcia",676,1,112,0,144,1
"2020-05-15 21:00:00","Navarra",2045,0,136,0,501,1
"2020-05-15 21:00:00","País Vasco",7011,2,578,0,1455,1
"2020-05-15 21:00:00","La Rioja",1490,2,91,0,348,0
