"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-06","Andalucía",21,0.25,1,0
"2020-03-06","Aragón",6,0.45,1,1
"2020-03-06","Asturias",5,0.49,2,0
"2020-03-06","Baleares",6,0.52,0,0
"2020-03-06","Canarias",11,0.51,0,0
"2020-03-06","Cantabria",10,1.72,0,0
"2020-03-06","Castilla La Mancha",15,0.74,1,0
"2020-03-06","Castilla y León",14,0.58,1,0
"2020-03-06","Cataluña",24,0.31,0,0
"2020-03-06","Ceuta",0,0.0,0,0
"2020-03-06","Comunidad Valenciana",30,0.6,1,1
"2020-03-06","Extremadura",6,0.56,0,0
"2020-03-06","Galicia",3,0.11,0,0
"2020-03-06","Madrid",137,2.06,2,2
"2020-03-06","Melilla",0,0.0,0,0
"2020-03-06","Murcia",0,0.0,0,0
"2020-03-06","Navarra",3,0.46,1,0
"2020-03-06","País Vasco",45,2.04,1,1
"2020-03-06","La Rioja",29,9.15,0,0
