"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-15 21:00:00","Andalucía",554,6.44,11,7
"2020-03-15 21:00:00","Aragón",174,13.19,7,11
"2020-03-15 21:00:00","Asturias",177,17.21,3,1
"2020-03-15 21:00:00","Baleares",73,6.18,4,1
"2020-03-15 21:00:00","Canarias",119,5.2,9,1
"2020-03-15 21:00:00","Cantabria",58,8.26,2,0
"2020-03-15 21:00:00","Castilla La Mancha",567,27.74,23,17
"2020-03-15 21:00:00","Castilla y León",334,13.79,24,9
"2020-03-15 21:00:00","Cataluña",903,11.57,33,12
"2020-03-15 21:00:00","Ceuta",1,1.18,0,0
"2020-03-15 21:00:00","Comunidad Valenciana",409,7.87,4,5
"2020-03-15 21:00:00","Extremadura",111,9.83,1,2
"2020-03-15 21:00:00","Galicia",245,9.08,9,2
"2020-03-15 21:00:00","Madrid",4165,62.07,253,213
"2020-03-15 21:00:00","Melilla",8,9.25,0,0
"2020-03-15 21:00:00","Murcia",77,5.15,2,0
"2020-03-15 21:00:00","Navarra",274,41.73,5,1
"2020-03-15 21:00:00","País Vasco",630,28.13,29,23
"2020-03-15 21:00:00","La Rioja",312,98.17,13,4
