"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","New cases"
"2020-03-21 21:00:00","Andalucía",1725,20.1,724,55,47,210
"2020-03-21 21:00:00","Aragón",532,39.49,241,45,24,108
"2020-03-21 21:00:00","Asturias",545,52.6,171,15,8,59
"2020-03-21 21:00:00","Baleares",331,28.1,79,14,4,85
"2020-03-21 21:00:00","Canarias",414,18.44,150,32,9,66
"2020-03-21 21:00:00","Cantabria",282,46.47,116,9,5,67
"2020-03-21 21:00:00","Castilla La Mancha",1819,88.74,838,76,112,396
"2020-03-21 21:00:00","Castilla y León",1744,71.76,709,106,74,278
"2020-03-21 21:00:00","Cataluña",4704,60.65,1681,298,191,501
"2020-03-21 21:00:00","Ceuta",5,5.9,0,0,0,0
"2020-03-21 21:00:00","Comunidad Valenciana",1604,31.32,590,113,69,241
"2020-03-21 21:00:00","Extremadura",384,35.4,87,8,14,30
"2020-03-21 21:00:00","Galicia",915,33.71,227,35,12,176
"2020-03-21 21:00:00","Madrid",9702,142.98,8441,834,1020,781
"2020-03-21 21:00:00","Melilla",25,28.91,12,1,0,0
"2020-03-21 21:00:00","Murcia",296,19.75,78,16,1,56
"2020-03-21 21:00:00","Navarra",794,120.91,288,30,14,130
"2020-03-21 21:00:00","País Vasco",2097,91.81,988,81,97,372
"2020-03-21 21:00:00","La Rioja",654,189.08,134,17,18,90
