"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","ICU cases","Total deaths","Total cured","New cases"
"2020-03-23","Andalucía",1960,22.66,865,77,58,50,236
"2020-03-23","Aragón",638,47.37,298,52,32,3,106
"2020-03-23","Asturias",594,57.39,194,22,12,21,49
"2020-03-23","Baleares",400,33.84,87,27,10,18,69
"2020-03-23","Canarias",481,21.32,172,32,11,7,67
"2020-03-23","Cantabria",347,57.65,157,14,6,11,65
"2020-03-23","Castilla La Mancha",2078,100.94,1547,142,145,51,259
"2020-03-23","Castilla y León",2055,84.68,860,120,102,117,311
"2020-03-23","Cataluña",5925,76.22,1681,551,245,644,1221
"2020-03-23","Ceuta",6,7.08,0,0,0,0,1
"2020-03-23","Comunidad Valenciana",1901,37.25,702,138,94,36,297
"2020-03-23","Extremadura",493,45.52,131,13,18,6,109
"2020-03-23","Galicia",1208,44.53,270,47,18,19,293
"2020-03-23","Madrid",10575,151.66,9561,942,1263,2063,873
"2020-03-23","Melilla",28,32.37,12,1,0,0,3
"2020-03-23","Murcia",345,22.83,80,23,2,1,49
"2020-03-23","Navarra",886,134.97,339,40,24,7,92
"2020-03-23","País Vasco",2421,102.91,1252,92,120,283,324
"2020-03-23","La Rioja",747,210.23,166,22,22,18,93
