"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio"
"2020-04-15 21:00:00","Andalucía",10807,212,10592,215,45.58
"2020-04-15 21:00:00","Aragón",4566,228,4411,155,141.44
"2020-04-15 21:00:00","Asturias",2170,74,2081,89,76.85
"2020-04-15 21:00:00","Baleares",1636,31,37670,0,0.0
"2020-04-15 21:00:00","Canarias",1988,13,1988,25260,0.0
"2020-04-15 21:00:00","Cantabria",1845,22,99300,0,0.0
"2020-04-15 21:00:00","Castilla La Mancha",15151,471,367410,0,0.0
"2020-04-15 21:00:00","Castilla y León",14380,683,292760,0,0.0
"2020-04-15 21:00:00","Cataluña",37354,849,202600,0,0.0
"2020-04-15 21:00:00","Ceuta",100,2,98,2,53.08
"2020-04-15 21:00:00","Comunidad Valenciana",9615,191,66090,0,0.0
"2020-04-15 21:00:00","Extremadura",2881,119,2581,300,97.78
"2020-04-15 21:00:00","Galicia",7872,165,112280,0,0.0
"2020-04-15 21:00:00","Madrid",50693,1168,278220,0,0.0
"2020-04-15 21:00:00","Melilla",103,1,103,47410,0.0
"2020-04-15 21:00:00","Murcia",1598,78,1424,174,34.41
"2020-04-15 21:00:00","Navarra",4348,102,254660,0,0.0
"2020-04-15 21:00:00","País Vasco",11790,315,202600,0,0.0
"2020-04-15 21:00:00","La Rioja",3916,459,3539,377,578.6
