"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio",7,8
"2020-04-17 21:00:00","Andalucía",11020,107,10772,248,43.72,184.0,11.204
"2020-04-17 21:00:00","Aragón",4761,97,4551,210,134.54,0.0,4.761
"2020-04-17 21:00:00","Asturias",2272,42,2153,119,77.92,0.0,2.272
"2020-04-17 21:00:00","Baleares",1748,80,1724,24,35.76,0.0,1.7480000000000002
"2020-04-17 21:00:00","Canarias",2035,26,2035,24100,0.0,2.035,0.0
"2020-04-17 21:00:00","Cantabria",1990,106,0,96890,0.0,1.99,0.0
"2020-04-17 21:00:00","Castilla La Mancha",16349,352,0,367660,0.0,16.349,0.0
"2020-04-17 21:00:00","Castilla y León",15293,390,0,292890,0.0,15.293,0.0
"2020-04-17 21:00:00","Cataluña",39943,1626,152,193560,0.0,39.943000000000005,0.0
"2020-04-17 21:00:00","Ceuta",108,7,101,7,46.0,4.0,112.0
"2020-04-17 21:00:00","Comunidad Valenciana",9795,76,9584,211,64.85,322.0,10.117
"2020-04-17 21:00:00","Extremadura",3081,62,2663,418,105.46,50.0,3.1310000000000002
"2020-04-17 21:00:00","Galicia",8084,71,8084,103500,0.0,8.084,0.0
"2020-04-17 21:00:00","Madrid",52946,953,52946,267210,0.0,52.946000000000005,0.0
"2020-04-17 21:00:00","Melilla",104,0,104,39310,0.0,104.0,0.0
"2020-04-17 21:00:00","Murcia",1638,13,1430,208,32.13,9.0,1.6469999999999998
"2020-04-17 21:00:00","Navarra",4556,123,4349,207,244.11,23.0,4.579
"2020-04-17 21:00:00","País Vasco",12355,266,0,193040,0.0,12.355,0.0
"2020-04-17 21:00:00","La Rioja",3648,101,3583,65,591.54,602.0,4.25
